time,lat,lon,z,oxy
1899-05-04 08:00:00.000858112,59.5,20.433332,358.0,360.3239
1899-05-04 08:00:00.000858112,59.5,20.433332,834.0,315.8825
1899-05-04 08:00:00.000858112,59.5,20.433332,183.0,85.3972
1899-05-05 06:59:59.999141888,60.2,19.116667,651.0,403.0225
1899-05-05 06:59:59.999141888,60.2,19.116667,70.0,387.77298
1899-05-05 06:59:59.999141888,60.2,19.116667,0.0,376.44482
1899-05-05 06:59:59.999141888,60.2,19.116667,0.0,383.8517
1899-05-05 06:59:59.999141888,60.2,19.116667,0.0,383.41602
1899-05-05 06:59:59.999141888,60.2,19.116667,790.0,362.93808
1899-05-05 11:00:00.000858112,60.133335,19.3,0.0,405.20102
1899-05-05 11:00:00.000858112,60.133335,19.3,0.0,376.8805
1899-05-13 09:59:59.999141888,60.833332,19.316668,366.0,402.15106
1899-05-13 09:59:59.999141888,60.833332,19.316668,0.0,377.3162
1899-06-03 00:00:00.000000000,58.68833,18.416666,366.0,396.92267
1899-06-03 00:00:00.000000000,58.68833,18.416666,9.0,388.20868
1899-06-03 00:00:00.000000000,58.68833,18.416666,37.0,381.2375
1899-06-03 00:00:00.000000000,58.68833,18.416666,0.0,347.2529
1899-06-03 00:00:00.000000000,58.68833,18.416666,0.0,120.688896
1899-07-19 13:00:00.001716736,59.766666,24.816668,95.0,277.1052
1899-07-19 16:00:00.001716736,59.733334,24.966667,0.0,298.8902
1899-07-24 06:00:00.000000000,60.2,19.116667,551.0,302.8115
1899-07-24 06:00:00.000000000,60.2,19.116667,183.0,381.2375
1899-07-24 06:00:00.000000000,60.2,19.116667,549.0,355.0955
1899-07-24 06:00:00.000000000,60.2,19.116667,0.0,353.7884
1899-07-24 06:00:00.000000000,60.2,19.116667,0.0,349.43143
1899-07-24 06:00:00.000000000,60.2,19.116667,183.0,349.43143
1899-07-24 18:00:00.000000000,59.966667,19.8,0.0,325.9036
1899-07-25 09:00:00.000000000,59.5,20.433332,0.0,290.6119
1899-07-25 09:00:00.000000000,59.5,20.433332,73.0,181.25119
1899-07-25 09:00:00.000000000,59.5,20.433332,183.0,181.25119
1899-07-26 06:59:59.999141888,61.05,19.566668,366.0,298.4545
1899-07-26 06:59:59.999141888,61.05,19.566668,650.0,383.8517
1899-08-05 08:00:00.000858112,60.2,19.116667,3743.0,308.91132
1899-08-05 08:00:00.000858112,60.2,19.116667,0.0,348.56
1899-08-05 08:00:00.000858112,60.2,19.116667,208.0,332.0034
1899-08-06 16:59:59.998283264,59.966667,19.8,162.0,320.6752
1899-08-06 16:59:59.998283264,59.966667,19.8,1890.0,339.846
1899-08-06 16:59:59.998283264,59.966667,19.8,809.0,327.6464
1899-09-07 13:59:59.998283264,62.716667,18.866667,0.0,317.6253
1899-09-07 13:59:59.998283264,62.716667,18.866667,1140.0,378.6233
1899-09-07 13:59:59.998283264,62.716667,18.866667,0.0,306.29712
1899-09-07 13:59:59.998283264,62.716667,18.866667,1620.0,294.9689
1899-09-07 13:59:59.998283264,62.716667,18.866667,0.0,291.91898
1899-09-08 12:00:00.000000000,62.1,20.133333,1300.0,336.36038
1899-09-29 00:00:00.000000000,59.866665,24.883333,0.0,295.4046
1899-09-29 00:00:00.000000000,59.866665,24.883333,570.0,298.0188
1899-09-29 00:00:00.000000000,59.866665,24.883333,0.0,286.69058
1899-09-29 00:00:00.000000000,59.866665,24.883333,0.0,273.6196
1899-09-29 00:00:00.000000000,59.866665,24.883333,0.0,247.47758
1899-10-07 15:00:00.000000000,59.766666,19.766666,1585.0,316.3182
1899-10-07 15:00:00.000000000,59.766666,19.766666,0.0,308.91132
1899-10-07 15:00:00.000000000,59.766666,19.766666,0.0,279.7194
1899-10-09 06:00:00.000000000,60.2,19.116667,549.0,309.347
1899-10-09 06:00:00.000000000,60.2,19.116667,91.0,304.5543
1899-10-09 06:00:00.000000000,60.2,19.116667,585.0,301.5044
1900-05-26 09:00:00.000000000,59.866665,24.883333,0.0,417.8363
1900-05-26 09:00:00.000000000,59.866665,24.883333,0.0,332.0034
1900-06-04 04:59:59.999570944,59.866665,24.883333,5.0,290.6119
1900-07-20 06:00:00.000000000,60.133335,27.65,0.0,300.633
1900-07-20 06:00:00.000000000,60.133335,27.65,2.5,280.5908
1900-07-21 09:59:59.999141888,59.866665,24.883333,7.5,290.6119
1900-07-21 09:59:59.999141888,59.866665,24.883333,0.0,348.1243
1900-07-21 09:59:59.999141888,59.866665,24.883333,0.0,268.3912
1900-07-21 16:59:59.998283264,59.866665,24.883333,0.0,298.0188
1900-07-22 06:59:59.999141888,59.233334,22.183332,10.0,271.4411
1900-07-22 06:59:59.999141888,59.233334,22.183332,2.5,347.6886
