time,lat,lon,surface_sal,year
1875-01-06 00:00:00.000000000,-45.533333,70.60833,34.12,1875
1875-01-07 13:00:00.001716736,-47.416668,68.03333,33.9,1875
1875-01-09 11:00:00.000858112,-47.916668,69.5,33.8,1875
1875-01-26 12:00:00.000000000,-50.807667,70.51667,34.17,1875
1875-02-09 06:00:00.000000000,-41.816666,77.95,35.0,1875
1875-02-10 00:00:00.000000000,4.55,127.1,34.48,1875
1875-02-10 09:00:00.000000000,-40.216667,78.433334,35.1,1875
1875-02-12 00:00:00.000000000,4.3166666,130.25,35.07,1875
1875-02-13 00:00:00.000000000,-37.933334,77.933334,35.35,1875
1875-02-13 04:59:59.999570944,-38.2,77.683334,35.3,1875
1875-02-15 13:59:59.998283264,-35.05,81.7,35.6,1875
1875-02-16 00:00:00.000000000,2.9333334,134.18333,34.75,1875
1875-02-18 00:00:00.000000000,-28.166666,79.2,36.2,1875
1875-02-20 16:59:59.998283264,-24.366667,72.25,35.2,1875
1875-02-21 00:00:00.000000000,-0.06666667,138.36667,33.83,1875
1875-02-22 16:00:00.001716736,-22.416666,66.71667,35.2,1875
1875-03-11 00:00:00.000000000,-0.7,147.0,34.86,1875
1875-03-16 13:00:00.001716736,-20.533333,57.396667,35.61,1875
1875-03-17 11:00:00.000858112,-22.0,58.116665,35.5,1875
1875-03-18 00:00:00.000000000,4.35,145.3,34.99,1875
1875-03-19 16:00:00.001716736,-24.683332,57.766666,35.1,1875
1875-03-21 11:00:00.000858112,-26.283333,59.116665,35.5,1875
1875-03-24 11:00:00.000858112,-32.183334,59.683334,35.5,1875
1875-03-29 00:00:00.000000000,19.4,141.21666,34.86,1875
1875-03-31 09:59:59.999141888,-35.5,72.21667,35.6,1875
1875-04-01 00:00:00.000000000,22.016666,140.45,35.2,1875
1875-04-01 16:00:00.001716736,-35.6,76.35,35.6,1875
1875-04-02 09:00:00.000000000,-35.166668,77.816666,35.4,1875
1875-04-04 06:59:59.999141888,-33.416668,79.7,35.5,1875
1875-04-06 11:00:00.000858112,-35.433334,79.7,35.8,1875
1875-04-09 11:00:00.000858112,-37.466667,85.86667,35.1,1875
1875-04-11 11:00:00.000858112,-37.416668,91.566666,35.4,1875
1875-04-13 11:00:00.000858112,-36.016666,97.5,35.6,1875
1875-04-15 13:00:00.001716736,-34.5,100.5,35.5,1875
1875-04-17 08:00:00.000858112,-34.05,104.26667,36.0,1875
1875-04-19 08:00:00.000858112,-31.333334,109.55,36.0,1875
1875-04-21 08:00:00.000858112,-28.7,112.066666,35.5,1875
1875-05-04 13:30:00.000000000,-17.505,116.778336,35.17,1875
1875-05-05 16:00:00.001716736,-16.166666,117.51667,34.8,1875
